Feature\Product;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;
_CRT_INSECURE_DEPRECATE;-;X;X;-;X;-;-;X;X;-;X;-;-;-;-;-;
_MSC_VER;-;-;X;X;-;X;X;-;X;X;-;-;-;-;-;-;
_M_ARM;-;X;-;X;X;-;-;X;-;X;X;-;-;-;-;-;
_M_IX86;-;X;X;-;-;X;X;-;-;X;-;-;X;-;-;-;
_WIN32;-;X;-;X;-;X;-;X;-;-;X;X;X;-;-;-;
_WIN32_WCE;-;X;X;-;-;X;-;X;X;-;X;-;X;-;-;-;
_WRS_KERNEL;-;X;-;X;-;-;X;X;-;X;X;-;X;-;-;-;
_XOPEN_SOURCE;-;X;-;X;-;X;-;-;X;X;-;-;X;-;-;-;
__APPLE__;-;X;X;-;-;X;X;-;-;X;X;-;-;-;-;-;
__BORLANDC__;-;-;X;X;X;-;-;X;-;X;-;-;X;-;-;-;
__CYGWIN__;-;-;X;X;-;X;-;X;-;X;X;-;X;X;-;-;
__DARWIN__;-;X;-;X;X;-;X;-;-;X;X;-;-;-;-;-;
__GNUC__;-;X;-;X;X;-;X;X;-;-;-;X;-;-;-;-;
__MAX_OS_X_VERSION_MIN_REQUIRED;-;-;X;X;-;X;-;X;X;-;X;-;X;-;-;-;
__MINGW32__;-;X;X;-;-;X;-;X;-;X;-;X;-;X;-;-;
__OpenBSD__;-;X;-;X;-;X;X;-;-;-;X;-;-;-;-;-;
__PTRDIFF_TYPE__;-;X;-;X;X;-;X;X;-;X;-;-;-;-;-;-;
__RTP__;-;X;-;X;-;-;X;X;X;-;X;-;-;-;-;-;
__USE_GNU;-;X;-;X;-;X;-;X;X;-;-;-;-;-;-;-;
__i386__;-;X;X;-;-;X;X;-;X;-;X;X;-;-;-;-;
__i486__;-;-;X;X;X;-;-;X;X;-;-;-;-;-;-;-;
__ppc__;-;-;X;X;-;X;-;X;X;-;-;X;-;-;-;-;
__x86_64;-;X;-;X;-;X;X;X;-;-;-;-;-;-;-;-;
__x86_64__;-;X;-;X;X;-;X;-;-;-;X;-;X;-;-;-;
fdatasync;-;X;-;X;X;-;X;-;-;X;-;X;-;X;-;-;
i386;-;X;-;X;-;X;X;-;X;-;-;X;-;-;-;-;
